Model,Engagement_story_pearson,Engagement_story_spearman,Engagement_story_kendall,Engagement_system_pearson,Engagement_system_spearman,Engagement_system_kendall
BLEU Ξ§,0.15184465287203283,0.19377741136497884,0.1385243543294033,0.8125837218208479,0.5757575757575757,0.3333333333333333
ROUGE-1 Recall Ξ§,0.2636554071359243,0.2717020981438551,0.19410555128172577,0.8172474250058829,0.6,0.37777777777777777
ROUGE-1 Precision Ξ§,0.010402595459066803,0.003532951093711718,0.0021041030063832017,0.32513435980320116,0.32121212121212117,0.19999999999999998
ROUGE-1 F-Score Ξ§,0.3139649079919484,0.28249821221359567,0.20418677007423452,0.9069429806117619,0.6,0.37777777777777777
ROUGE-2 Recall Ξ§,0.18316041668205085,0.21822024125324088,0.1559551043013,0.7642445851264886,0.5878787878787878,0.4222222222222222
ROUGE-2 Precision Ξ§,0.024581375515524872,0.0061453960246228975,0.004444012357890966,0.33302032119359115,0.16363636363636364,0.06666666666666667
ROUGE-2 F-Score Ξ§,0.1656973550127093,0.1682790378101607,0.12020461140858192,0.7032688744193606,0.5030303030303029,0.3333333333333333
ROUGE-3 Recall Ξ§,0.04779955282187254,0.06892440932072694,0.053436101135984945,0.21798129852942105,0.34545454545454546,0.28888888888888886
ROUGE-3 Precision Ξ§,0.051919160045934984,0.028049246623705334,0.022839996946775794,0.674012712011942,0.33333333333333326,0.19999999999999998
ROUGE-3 F-Score Ξ§,0.027022691893693232,0.05648938832704511,0.04413100467648197,0.18319638174551447,0.006060606060606061,0.1111111111111111
ROUGE-4 Recall Ξ§,0.022280421651876596,0.0005304315531307862,0.0006516076191831881,0.27940096561524425,0.04242424242424241,0.1111111111111111
ROUGE-4 Precision Ξ§,0.07049889174436,0.004658933182032178,0.0041280955993629265,0.6872896707217642,0.2121212121212121,0.1111111111111111
ROUGE-4 F-Score Ξ§,0.040174142995217356,0.0016377442072871963,0.0014532901047833065,0.5104100249020969,0.10303030303030303,0.022222222222222223
ROUGE-L Recall Ξ§,0.20084123452032496,0.21461310373907289,0.15256104792250133,0.787202692746576,0.6363636363636362,0.4222222222222222
ROUGE-L Precision Ξ§,0.1794485538123708,0.13458298028360544,0.09475465160041895,0.7639085220984554,0.33333333333333326,0.19999999999999998
ROUGE-L F-Score Ξ§,0.21664781865710991,0.1969387976485237,0.14263424850660558,0.8162557235029778,0.5878787878787878,0.4222222222222222
ROUGE-W-1.2 Recall Ξ§,0.11437740294595655,0.13971039972059082,0.09897131749740894,0.7961899962401947,0.6363636363636362,0.4222222222222222
ROUGE-W-1.2 Precision Ξ§,0.23328802612442723,0.18811133322606235,0.13333038661548172,0.7947918358349977,0.33333333333333326,0.19999999999999998
ROUGE-W-1.2 F-Score Ξ§,0.11148676348999069,0.12780695896984443,0.09047333657187091,0.8361639314697292,0.6606060606060605,0.4666666666666666
ROUGE-S* Recall Ξ§,0.21148083099300827,0.2700995782789319,0.19269436704194648,0.7299288369910927,0.6,0.37777777777777777
ROUGE-S* Precision Ξ§,0.038130358576877244,0.0186760531015443,0.013297427286442419,0.45663803788138013,0.32121212121212117,0.15555555555555553
ROUGE-S* F-Score Ξ§,0.2765459409510639,0.2716255486324277,0.19585436580460935,0.841296445217685,0.5757575757575757,0.3333333333333333
ROUGE-SU* Recall Ξ§,0.21009010999847522,0.2675279293072768,0.19085235547549426,0.7314332444611656,0.6,0.37777777777777777
ROUGE-SU* Precision Ξ§,0.04242835201324385,0.022498567690762257,0.015923981897857646,0.4685014596665522,0.32121212121212117,0.15555555555555553
ROUGE-SU* F-Score Ξ§,0.2748877711863354,0.2692411111576069,0.19390648116253412,0.8431684865336644,0.5757575757575757,0.3333333333333333
METEOR Ξ§,0.27379663020641576,0.2663209753978392,0.19008554942631842,0.8074366507270765,0.6242424242424242,0.4222222222222222
chrF Ξ§,0.2941409009365392,0.2823849437585655,0.2017244874310957,0.8328729737654667,0.6606060606060605,0.4666666666666666
CIDEr Ξ§,0.026130326822476267,0.012081857252278963,0.00948589536118343,0.32485807261790683,0.24848484848484845,0.1111111111111111
ROUGE-WE-3 Recall Ξε,0.2698909181936343,0.2864322124752868,0.2056284457600728,0.8430661469174644,0.5757575757575757,0.3333333333333333
ROUGE-WE-3 Precision Ξε,0.022980553489289225,0.034062074573675445,0.024651741328455472,0.045142296227197204,0.12727272727272726,0.06666666666666667
ROUGE-WE-3 F-Score Ξε,0.2869473056608611,0.25481363567598003,0.18292626824231553,0.8897383043523606,0.6,0.37777777777777777
BERTScore Precision Ξε,0.014784060234293541,0.032545242728803825,0.024626033558003704,0.3008842699244098,0.16363636363636364,0.1111111111111111
BERTScore Recall Ξε,0.37499858259196095,0.3320083387234492,0.2391043712917291,0.9081699032522921,0.6363636363636362,0.4222222222222222
BERTScore F1 Ξε,0.2936871815434638,0.26886648516192624,0.19183955371080588,0.917392612762717,0.7454545454545454,0.5555555555555555
MoverScore Ξε,0.3088545788994531,0.27642196280376863,0.1982258086721446,0.9207061200688631,0.709090909090909,0.5555555555555555
DepthScore Ξε,0.32482047431220445,0.2943661005605641,0.21190797507214928,0.9343885959003853,0.6606060606060605,0.4666666666666666
BaryScore-W Ξε,0.30215650532154714,0.2722599293731512,0.19482042801343222,0.911443500884576,0.6969696969696969,0.5111111111111111
BaryScore-SD-10 Ξε,0.014768620724632614,0.0007063424838928708,0.0005131395513128258,0.524529375264339,0.7818181818181817,0.6888888888888888
BaryScore-SD-5 Ξε,0.014077128696671323,0.0015002607723600269,0.0010029545775659776,0.5210489441150793,0.7818181818181817,0.6888888888888888
BaryScore-SD-1 Ξε,0.0083326518870318,0.007861468695464863,0.005476598484011432,0.4903027044614246,0.7575757575757575,0.6444444444444444
BaryScore-SD-0.5 Ξε,0.0004396756341129224,0.018263910400761453,0.012907792168023537,0.4387643236294705,0.7212121212121211,0.6
