Model,Relevance_story_pearson,Coherence_story_pearson,Empathy_story_pearson,Surprise_story_pearson,Engagement_story_pearson,Complexity_story_pearson,Relevance_story_spearman,Coherence_story_spearman,Empathy_story_spearman,Surprise_story_spearman,Engagement_story_spearman,Complexity_story_spearman,Relevance_story_kendall,Coherence_story_kendall,Empathy_story_kendall,Surprise_story_kendall,Engagement_story_kendall,Complexity_story_kendall,Relevance_system_pearson,Coherence_system_pearson,Empathy_system_pearson,Surprise_system_pearson,Engagement_system_pearson,Complexity_system_pearson,Relevance_system_spearman,Coherence_system_spearman,Empathy_system_spearman,Surprise_system_spearman,Engagement_system_spearman,Complexity_system_spearman,Relevance_system_kendall,Coherence_system_kendall,Empathy_system_kendall,Surprise_system_kendall,Engagement_system_kendall,Complexity_system_kendall
BLEU Ξ§,0.13138144738289825,0.20861243020961875,0.23121853591715147,0.17287802287921492,0.243673147113459,0.35525454208916746,0.1774777823789897,0.22493099755542525,0.2296799791939438,0.22082736243730303,0.28997997188878244,0.3811309994069847,0.13922033417177257,0.17069439503744066,0.18480471474206409,0.17307745989478976,0.22763690351244578,0.3020059431528414,0.7988772238903901,0.7385058501183717,0.7730162713288586,0.8050855886583825,0.8125837218208478,0.8683284366448947,0.7212121212121211,0.5757575757575757,0.6,0.6242424242424242,0.5757575757575757,0.7173285415424762,0.5555555555555555,0.3333333333333333,0.4222222222222222,0.4222222222222222,0.3333333333333333,0.5393598899705937
ROUGE-1 Recall Ξ§,0.1938305843894735,0.35383429944019484,0.3060569247453206,0.3132220002468147,0.39376604693193745,0.5500931677216258,0.18728455446469425,0.3001929507681825,0.2877589546246839,0.308560478360528,0.37023876105958853,0.505960258959094,0.1471328059843349,0.2345944031663604,0.22687506134636837,0.23671452291166792,0.2919301634997401,0.40654309762062707,0.7909720918180811,0.7352521514260209,0.745915607859952,0.8411456003669074,0.8172474250058828,0.9048909302849866,0.6969696969696969,0.6,0.6242424242424242,0.6484848484848483,0.6,0.7477238187264795,0.5111111111111111,0.37777777777777777,0.4666666666666666,0.4666666666666666,0.37777777777777777,0.5843065474681431
ROUGE-1 Precision Ξ§,0.00758189248598862,0.005104962647800933,0.05628844360390688,0.08200036079992637,0.07325107870616661,0.18495474491288708,0.014023820334861858,0.009910447171705543,0.07105788091974019,0.08261952883359765,0.06917807047312219,0.18586096037857422,0.01657239104905885,0.012756247341783105,0.06016832313331338,0.06697453055639051,0.05229382634713198,0.1481433081706294,0.5736173926169554,0.18708804120393965,0.22059832458236966,0.4729328699900335,0.32513435980320127,0.5209306944353106,0.43030303030303024,0.32121212121212117,0.309090909090909,0.41818181818181815,0.32121212121212117,0.56535215562246,0.3333333333333333,0.19999999999999998,0.19999999999999998,0.28888888888888886,0.19999999999999998,0.40451991747794525
ROUGE-1 F-Score Ξ§,0.18261585802791966,0.33940857676958114,0.28244040995275316,0.2684380826335901,0.3639954259272251,0.4699317721918241,0.17439281026659748,0.2779143406494737,0.25771813774790403,0.26114402137631404,0.3431336121538859,0.4155522055544763,0.126952211247803,0.21641067166043526,0.2027314555171497,0.20014474837064578,0.26426823780267433,0.3274249406032585,0.747871061940449,0.8471942219422146,0.8553353088745822,0.8794481644130538,0.9069429806117622,0.9334615843431664,0.6969696969696969,0.6,0.6969696969696969,0.6,0.6,0.6565379871744699,0.5111111111111111,0.37777777777777777,0.5555555555555555,0.37777777777777777,0.37777777777777777,0.4944132324730442
ROUGE-2 Recall Ξ§,0.1276177475877366,0.25227002880119487,0.2368488330231052,0.19651396375059862,0.2576149739750817,0.34955867225204473,0.13119325371398902,0.2271603168037967,0.22580070635496594,0.20622565827047923,0.24944360754138914,0.3355198058335314,0.10842592972729741,0.18205798141643928,0.1788627750775392,0.16277103394020664,0.19469183701129,0.2680272189150876,0.6744343126230803,0.7403653287434525,0.7736752378368351,0.7107704931844457,0.7642445851264887,0.7978098927752229,0.6121212121212121,0.5878787878787878,0.7212121212121211,0.5636363636363636,0.5878787878787878,0.5106406566912542,0.4666666666666666,0.4222222222222222,0.6,0.4222222222222222,0.4222222222222222,0.3595732599803958
ROUGE-2 Precision Ξ§,0.01647467931363818,0.00968367240961021,0.03347938749621261,0.0677669123062976,0.059089253682081934,0.10787976840530329,0.0018827290604185077,0.023123293560985903,0.007078586833717984,0.05335425063719466,0.03221471269002089,0.08227987535950711,0.00015898462000213617,0.016670949728966215,0.002984817642160216,0.04510549442948602,0.024039793111249055,0.06337658215736354,0.6151600470779237,0.1905480367870933,0.2438083660028481,0.5011353128646553,0.33302032119359126,0.47475242933103257,0.3939393939393939,0.16363636363636364,0.12727272727272726,0.22424242424242422,0.16363636363636364,0.395138603392042,0.28888888888888886,0.06666666666666667,0.022222222222222223,0.15555555555555553,0.06666666666666667,0.26967994498529685
ROUGE-2 F-Score Ξ§,0.09039461002465443,0.19887980051842036,0.18221977526455366,0.13728283666469798,0.18706769015735789,0.2409218764452977,0.09110985898322406,0.17983722430252938,0.16421301221152973,0.1362653083506683,0.18321210028260618,0.22492818316327803,0.06700969697711757,0.14074062326706996,0.123394515919006,0.10332024166176507,0.14168046241057328,0.17604383893174522,0.42195278981430556,0.7354481440371475,0.7433521242007219,0.5695974679733521,0.7032688744193606,0.656085768129697,0.38181818181818183,0.5030303030303029,0.5757575757575757,0.5151515151515151,0.5030303030303029,0.43769199144964654,0.28888888888888886,0.3333333333333333,0.4222222222222222,0.3333333333333333,0.3333333333333333,0.22473328748774737
ROUGE-3 Recall Ξ§,0.0871178368476233,0.11314878483535172,0.09089559691839542,0.022307345474837714,0.08575495854091965,0.07613652636253324,0.082327507496082,0.09865723034764816,0.09114787248914068,0.05055464825483245,0.07932361514194149,0.06346685989825003,0.0701356275642676,0.0889666518877119,0.07936594178148322,0.04363825592940286,0.06559530264653597,0.06019428660171156,0.13614449192980327,0.28046150045286833,0.389801578405953,0.05121389866709912,0.21798129852942116,0.14969072826578017,0.2727272727272727,0.34545454545454546,0.38181818181818183,0.28484848484848485,0.34545454545454546,0.1580554413568168,0.15555555555555553,0.28888888888888886,0.28888888888888886,0.19999999999999998,0.28888888888888886,0.08989331499509895
ROUGE-3 Precision Ξ§,0.02980677432999669,0.03641585105794874,0.000510885595862979,0.044644936245425454,0.031182957736049014,0.05947513065903543,0.046617244277385166,0.05903403153342888,0.035192885923281764,0.0022700182351710037,0.014113790068382872,0.014164393435201579,0.040270516468089816,0.0535845613293215,0.03212186408856559,0.001423321119388951,0.012026406472096384,0.0050555038683429065,0.7154920821596139,0.5577596137387567,0.5700146967743882,0.7858989975571832,0.6740127120119421,0.7683337128861929,0.4666666666666666,0.33333333333333326,0.29696969696969694,0.43030303030303024,0.33333333333333326,0.5896683773696627,0.4222222222222222,0.19999999999999998,0.19999999999999998,0.28888888888888886,0.19999999999999998,0.40451991747794525
ROUGE-3 F-Score Ξ§,0.07096776934794309,0.09568304423416425,0.06555774544802213,0.004410742510316585,0.05472155519558362,0.03501328952592639,0.05754195498091968,0.07655892484225518,0.054201352852900904,0.028181742470870356,0.04536571908884646,0.02181455605007755,0.04749762265874125,0.07007914299645591,0.0467754436795288,0.02396934477095548,0.03562420204447846,0.022938702455905433,0.31913845739297897,0.07292549263525434,0.02086628107171084,0.36665017811497114,0.1831963817455145,0.3017257961322341,0.05454545454545454,0.006060606060606061,0.0303030303030303,0.07878787878787878,0.006060606060606061,0.1702135522304181,0.022222222222222223,0.1111111111111111,0.1111111111111111,0.022222222222222223,0.1111111111111111,0.08989331499509895
