Model,Relevance_story_pearson,Coherence_story_pearson,Empathy_story_pearson,Surprise_story_pearson,Engagement_story_pearson,Complexity_story_pearson,Relevance_system_pearson,Coherence_system_pearson,Empathy_system_pearson,Surprise_system_pearson,Engagement_system_pearson,Complexity_system_pearson
BLEU Ξ§,0.11242776621184697,0.1141631873084287,0.15686237507717926,0.069712278424099,0.15184465287203283,0.20401069868500532,0.7988772238903901,0.7385058501183718,0.7730162713288584,0.8050855886583825,0.8125837218208479,0.8683284366448947
ROUGE-1 Recall Ξ§,0.15197999769579792,0.23174861683924086,0.22443965608761052,0.18549056423428417,0.2636554071359243,0.3673865583133087,0.7909720918180811,0.735252151426021,0.745915607859952,0.8411456003669077,0.8172474250058829,0.9048909302849866
ROUGE-1 Precision Ξ§,0.02884644113973476,0.02968541913064476,0.012302768414173952,0.03567213672728697,0.010402595459066803,0.04484538018130807,0.5736173926169552,0.18708804120393963,0.22059832458236955,0.4729328699900335,0.32513435980320116,0.5209306944353106
ROUGE-1 F-Score Ξ§,0.17127841490299056,0.27408844909789404,0.24784547879715108,0.19955282088205822,0.3139649079919484,0.40248912475763565,0.7478710619404487,0.8471942219422145,0.8553353088745821,0.8794481644130537,0.9069429806117619,0.9334615843431664
ROUGE-2 Recall Ξ§,0.16676842150861454,0.1844444147422255,0.1923092698557217,0.09067646637164532,0.18316041668205085,0.23877094477132982,0.6744343126230803,0.7403653287434525,0.7736752378368348,0.7107704931844456,0.7642445851264886,0.7978098927752227
ROUGE-2 Precision Ξ§,0.030894850681768754,0.032772548482766076,0.017280998634857884,0.044006370627081605,0.024581375515524872,0.06590787933319028,0.6151600470779235,0.1905480367870933,0.2438083660028481,0.5011353128646553,0.33302032119359115,0.4747524293310325
ROUGE-2 F-Score Ξ§,0.1446577016099175,0.17575295878760822,0.17330491148164373,0.0700135336684089,0.1656973550127093,0.1908466591757098,0.4219527898143054,0.7354481440371475,0.7433521242007218,0.569597467973352,0.7032688744193606,0.656085768129697
ROUGE-3 Recall Ξ§,0.1515589988729999,0.05912777986665323,0.05423396912142113,0.054443944102620705,0.04779955282187254,0.021274332829972355,0.13614449192980324,0.28046150045286833,0.3898015784059528,0.051213898667099134,0.21798129852942105,0.14969072826578017
ROUGE-3 Precision Ξ§,0.04393171738690356,0.018113020075157103,0.008055881652395583,0.08022546299569155,0.051919160045934984,0.11989428094540036,0.7154920821596137,0.5577596137387567,0.5700146967743882,0.7858989975571832,0.674012712011942,0.7683337128861928
ROUGE-3 F-Score Ξ§,0.12282094328145783,0.04152509078072829,0.039637814060106295,0.06377494864341718,0.027022691893693232,0.013364608048072112,0.31913845739297897,0.07292549263525433,0.020866281071710825,0.36665017811497114,0.18319638174551447,0.30172579613223416
