Model,Relevance_story_spearman,Coherence_story_spearman,Empathy_story_spearman,Surprise_story_spearman,Engagement_story_spearman,Complexity_story_spearman,Relevance_system_spearman,Coherence_system_spearman,Empathy_system_spearman,Surprise_system_spearman,Engagement_system_spearman,Complexity_system_spearman
BLEU Ξ§,0.10409436871365678,0.15292406036489292,0.18592388709073296,0.14625400587023876,0.19377741136497884,0.2639707424373659,0.7212121212121211,0.5757575757575757,0.6,0.6242424242424242,0.5757575757575757,0.7173285415424762
ROUGE-1 Recall Ξ§,0.1535877233157784,0.21858978492229808,0.23627716938836127,0.2177882248004906,0.2717020981438551,0.37912334832190514,0.6969696969696969,0.6,0.6242424242424242,0.6484848484848483,0.6,0.7477238187264795
ROUGE-1 Precision Ξ§,0.02421896169052252,0.030265190480357414,0.010603419313347429,0.025799881518895208,0.003532951093711718,0.04569734851942374,0.43030303030303024,0.32121212121212117,0.309090909090909,0.41818181818181815,0.32121212121212117,0.56535215562246
ROUGE-1 F-Score Ξ§,0.1679656037437503,0.22150545889319356,0.23658132879422009,0.21009106533956992,0.28249821221359567,0.3703434656220476,0.6969696969696969,0.6,0.6969696969696969,0.6,0.6,0.6565379871744699
ROUGE-2 Recall Ξ§,0.153589296868634,0.19637957811873968,0.20123756026914855,0.13667137628450446,0.21822024125324088,0.28235900445735934,0.6121212121212121,0.5878787878787878,0.7212121212121211,0.5636363636363636,0.5878787878787878,0.5106406566912542
ROUGE-2 Precision Ξ§,0.06019624254248371,0.05243534634316781,0.021514866419321023,0.03193741712462152,0.0061453960246228975,0.02515083906107736,0.3939393939393939,0.16363636363636364,0.12727272727272726,0.22424242424242422,0.16363636363636364,0.395138603392042
ROUGE-2 F-Score Ξ§,0.13272932952115146,0.16488238027138724,0.16368029534744474,0.093512548995938,0.1682790378101607,0.1995294651908122,0.38181818181818183,0.5030303030303029,0.5757575757575757,0.5151515151515151,0.5030303030303029,0.43769199144964654
ROUGE-3 Recall Ξ§,0.12578986156916516,0.08340291513105297,0.0711040891909965,0.01588669904016292,0.06892440932072694,0.055542752373088464,0.2727272727272727,0.34545454545454546,0.38181818181818183,0.28484848484848485,0.34545454545454546,0.1580554413568168
ROUGE-3 Precision Ξ§,0.08792338456819848,0.056637020376200845,0.038845363732089626,0.03009277989680296,0.028049246623705334,0.0028323861356388466,0.4666666666666666,0.33333333333333326,0.29696969696969694,0.43030303030303024,0.33333333333333326,0.5896683773696627
ROUGE-3 F-Score Ξ§,0.1128137682441978,0.07429888644528011,0.06267848051487862,0.01808747397097971,0.05648938832704511,0.03694917058196872,0.05454545454545454,0.006060606060606061,0.0303030303030303,0.07878787878787878,0.006060606060606061,0.1702135522304181
ROUGE-4 Recall Ξ§,0.013071665882968604,0.013513005760628466,0.024317747968083975,0.06090815071757514,0.0005304315531307862,0.02984637846316548,0.32121212121212117,0.04242424242424241,0.05454545454545454,0.11515151515151514,0.04242424242424241,0.18845071854082002
ROUGE-4 Precision Ξ§,0.009949606825496381,0.010074351165491073,0.02061318285048146,0.06184908121049753,0.004658933182032178,0.03571373552571199,0.43030303030303024,0.2121212121212121,0.2121212121212121,0.309090909090909,0.2121212121212121,0.4012176588288426
ROUGE-4 F-Score Ξ§,0.012020991838134022,0.012653479904772636,0.023115030560435977,0.06155317266102331,0.0016377442072871963,0.031847052472495585,0.32121212121212117,0.10303030303030303,0.07878787878787878,0.19999999999999998,0.10303030303030303,0.23708316203522517
ROUGE-L Recall Ξ§,0.11604387841432094,0.17113824478849707,0.20449324723263368,0.1689166008211685,0.21461310373907289,0.2944681925271609,0.709090909090909,0.6363636363636362,0.6363636363636362,0.6969696969696969,0.6363636363636362,0.7781190959104827
ROUGE-L Precision Ξ§,0.03529966690974951,0.08665754819863453,0.09530182404511787,0.12796457243172984,0.13458298028360544,0.22584741626061144,0.5151515151515151,0.33333333333333326,0.29696969696969694,0.43030303030303024,0.33333333333333326,0.5957474328064633
ROUGE-L F-Score Ξ§,0.11388538443242818,0.15502096685035643,0.20061356325278096,0.13315125592096483,0.1969387976485237,0.23168083725057062,0.6121212121212121,0.5878787878787878,0.7212121212121211,0.5636363636363636,0.5878787878787878,0.5106406566912542
ROUGE-W-1.2 Recall Ξ§,0.07407493024137317,0.11107943786504439,0.14454037858170998,0.1070132829987798,0.13971039972059082,0.18793315206374953,0.709090909090909,0.6363636363636362,0.6363636363636362,0.6969696969696969,0.6363636363636362,0.7781190959104827
ROUGE-W-1.2 Precision Ξ§,0.06284494984361055,0.13195524755323979,0.13661805052822232,0.1733743469776212,0.18811133322606235,0.2970941576042001,0.5151515151515151,0.33333333333333326,0.29696969696969694,0.43030303030303024,0.33333333333333326,0.5957474328064633
ROUGE-W-1.2 F-Score Ξ§,0.07195645304858217,0.10433835724134324,0.14107901575587803,0.09295425724907858,0.12780695896984443,0.1658077982490061,0.7333333333333332,0.6606060606060605,0.7454545454545454,0.6606060606060605,0.6606060606060605,0.6565379871744699
ROUGE-S* Recall Ξ§,0.15171912410935268,0.2145745433682046,0.23775309760571423,0.21306230682605112,0.2700995782789319,0.37941446423274616,0.7575757575757575,0.6,0.5878787878787878,0.6484848484848483,0.6,0.7659609850368815
ROUGE-S* Precision Ξ§,0.01977881884528452,0.014170014658159539,0.015298494239885918,0.03744223222829484,0.0186760531015443,0.06302346664304134,0.5272727272727272,0.32121212121212117,0.28484848484848485,0.41818181818181815,0.32121212121212117,0.5835893219328621
ROUGE-S* F-Score Ξ§,0.1570811249120638,0.2074006732046602,0.23151676071621188,0.19838467222028341,0.2716255486324277,0.364011519719681,0.7212121212121211,0.5757575757575757,0.6,0.6242424242424242,0.5757575757575757,0.7173285415424762
ROUGE-SU* Recall Ξ§,0.15041829039509544,0.21291066068109918,0.23601145004846602,0.21090450070621208,0.2675279293072768,0.3758835319194335,0.7575757575757575,0.6,0.5878787878787878,0.6484848484848483,0.6,0.7659609850368815
ROUGE-SU* Precision Ξ§,0.017321654954152423,0.011079527249286843,0.017423812330436987,0.04087713212980912,0.022498567690762257,0.06822211443854534,0.5272727272727272,0.32121212121212117,0.28484848484848485,0.41818181818181815,0.32121212121212117,0.5835893219328621
ROUGE-SU* F-Score Ξ§,0.15587688538230954,0.2058361489787464,0.23026436542745665,0.1964783085109107,0.2692411111576069,0.3606530197855672,0.7212121212121211,0.5757575757575757,0.6,0.6242424242424242,0.5757575757575757,0.7173285415424762
METEOR Ξ§,0.12881977614038342,0.20395825280054955,0.2516378896350802,0.2168445436552508,0.2663209753978392,0.38170916034791946,0.7333333333333332,0.6242424242424242,0.6121212121212121,0.6727272727272726,0.6242424242424242,0.7963562622208846
chrF Ξ§,0.13681994297230543,0.23267488541839076,0.24285308820030543,0.23649143938035225,0.2823849437585655,0.39808924475009116,0.7454545454545454,0.6606060606060605,0.6242424242424242,0.7212121212121211,0.6606060606060605,0.8267515394048879
CIDEr Ξ§,0.011411556662033523,0.011905784111131176,0.03596921848029768,0.014840173974439578,0.012081857252278963,0.03718690363466564,0.5151515151515151,0.24848484848484845,0.24848484848484845,0.1515151515151515,0.24848484848484845,0.2553203283456271
ROUGE-WE-3 Recall Ξε,0.15858226825410826,0.24164484008441434,0.27335771250889285,0.22356411125134334,0.2864322124752868,0.3877635001900958,0.7212121212121211,0.5757575757575757,0.6,0.6242424242424242,0.5757575757575757,0.7173285415424762
ROUGE-WE-3 Precision Ξε,0.03323594237607835,0.06639832807231957,0.025018063104716604,0.002723245967360118,0.034062074573675445,0.009408141454413616,0.13939393939393938,0.12727272727272726,0.19999999999999998,0.006060606060606061,0.12727272727272726,0.18237166310401937
ROUGE-WE-3 F-Score Ξε,0.15209113047547712,0.22383633592868463,0.241806952291541,0.18125574400107153,0.25481363567598003,0.32805672461064844,0.6606060606060605,0.6,0.7575757575757575,0.5636363636363636,0.6,0.5106406566912542
BERTScore Precision Ξε,0.08581607523576922,0.00941845625364064,0.05312565054742766,0.027051894330273663,0.032545242728803825,0.018374100114502898,0.2606060606060606,0.16363636363636364,0.07878787878787878,0.22424242424242422,0.16363636363636364,0.3161108827136336
BERTScore Recall Ξε,0.19700183688197717,0.24699961552095825,0.2893421799139335,0.26155727234959975,0.3320083387234492,0.44656521695125406,0.709090909090909,0.6363636363636362,0.6363636363636362,0.6969696969696969,0.6363636363636362,0.7781190959104827
BERTScore F1 Ξε,0.18547365940564067,0.19528676312479645,0.23571449325443272,0.1720356229323059,0.26886648516192624,0.33418233147867304,0.6727272727272726,0.7454545454545454,0.8424242424242423,0.7454545454545454,0.7454545454545454,0.6930123197952736
MoverScore Ξε,0.2236432493304984,0.22316364434826355,0.20613878551430612,0.17503366418920777,0.27642196280376863,0.3412738864486274,0.7818181818181817,0.709090909090909,0.8181818181818182,0.6242424242424242,0.709090909090909,0.5592731001856595
DepthScore Ξε,0.1089680251637702,0.23891544452244814,0.21951966571177262,0.22875757819510267,0.2943661005605641,0.36613656305402537,0.6121212121212121,0.6606060606060605,0.6848484848484848,0.7212121212121211,0.6606060606060605,0.8145934285312865
BaryScore-W Ξε,0.16173867166541656,0.21563376261202996,0.24123976644265147,0.1752329777718865,0.2722599293731512,0.3328750425898569,0.709090909090909,0.6969696969696969,0.8060606060606059,0.6848484848484848,0.6969696969696969,0.6443798763008685
BaryScore-SD-10 Ξε,0.0022021614828845247,0.025034921751059314,0.08770791619506445,0.026946964473723193,0.0007063424838928708,0.03585395417004765,0.6363636363636362,0.7818181818181817,0.5757575757575757,0.8303030303030302,0.7818181818181817,0.9118583155200968
BaryScore-SD-5 Ξε,0.003028422040323928,0.0244328171692184,0.08849634667393429,0.026431846739474178,0.0015002607723600269,0.0350726984258007,0.6363636363636362,0.7818181818181817,0.5757575757575757,0.8303030303030302,0.7818181818181817,0.9118583155200968
BaryScore-SD-1 Ξε,0.009009221868767119,0.01988063514625492,0.09396342123216933,0.02264537180282575,0.007861468695464863,0.02821613533032397,0.6242424242424242,0.7575757575757575,0.5393939393939393,0.7939393939393938,0.7575757575757575,0.8753839828992931
