Model,Relevance_story_pearson,Coherence_story_pearson,Empathy_story_pearson,Surprise_story_pearson,Engagement_story_pearson,Complexity_story_pearson,Relevance_story_spearman,Coherence_story_spearman,Empathy_story_spearman,Surprise_story_spearman,Engagement_story_spearman,Complexity_story_spearman,Relevance_story_kendall,Coherence_story_kendall,Empathy_story_kendall,Surprise_story_kendall,Engagement_story_kendall,Complexity_story_kendall
BLEU Ξ§,0.11242776621184697,0.1141631873084287,0.15686237507717926,0.069712278424099,0.15184465287203283,0.20401069868500532,0.10409436871365678,0.15292406036489292,0.18592388709073296,0.14625400587023876,0.19377741136497884,0.2639707424373659,0.07377866242119939,0.10983015690022023,0.13330605273539628,0.10594149054120852,0.1385243543294033,0.18913946076808397
ROUGE-1 Recall Ξ§,0.15197999769579792,0.23174861683924086,0.22443965608761052,0.18549056423428417,0.2636554071359243,0.3673865583133087,0.1535877233157784,0.21858978492229808,0.23627716938836127,0.2177882248004906,0.2717020981438551,0.37912334832190514,0.10789483282863137,0.15654213368117117,0.16947467705951882,0.156887306919236,0.19410555128172577,0.2751060225170383
ROUGE-1 Precision Ξ§,0.02884644113973476,0.02968541913064476,0.012302768414173952,0.03567213672728697,0.010402595459066803,0.04484538018130807,0.02421896169052252,0.030265190480357414,0.010603419313347429,0.025799881518895208,0.003532951093711718,0.04569734851942374,0.017309371279968167,0.021160487145057093,0.007623489835870514,0.018388006027548098,0.0021041030063832017,0.03260963451207315
ROUGE-1 F-Score Ξ§,0.17127841490299056,0.27408844909789404,0.24784547879715108,0.19955282088205822,0.3139649079919484,0.40248912475763565,0.1679656037437503,0.22150545889319356,0.23658132879422009,0.21009106533956992,0.28249821221359567,0.3703434656220476,0.11960663983379854,0.15946643565179938,0.17032347633687464,0.15147886394881158,0.20418677007423452,0.2685068905496083
ROUGE-2 Recall Ξ§,0.16676842150861454,0.1844444147422255,0.1923092698557217,0.09067646637164532,0.18316041668205085,0.23877094477132982,0.153589296868634,0.19637957811873968,0.20123756026914855,0.13667137628450446,0.21822024125324088,0.28235900445735934,0.10807837365738161,0.1412082122595174,0.14517175015184958,0.09856682740897652,0.1559551043013,0.20277858530301202
ROUGE-2 Precision Ξ§,0.030894850681768754,0.032772548482766076,0.017280998634857884,0.044006370627081605,0.024581375515524872,0.06590787933319028,0.06019624254248371,0.05243534634316781,0.021514866419321023,0.03193741712462152,0.0061453960246228975,0.02515083906107736,0.043296978122230496,0.038031854335012785,0.015192255388852497,0.02286647279322601,0.004444012357890966,0.017663783371496513
ROUGE-2 F-Score Ξ§,0.1446577016099175,0.17575295878760822,0.17330491148164373,0.0700135336684089,0.1656973550127093,0.1908466591757098,0.13272932952115146,0.16488238027138724,0.16368029534744474,0.093512548995938,0.1682790378101607,0.1995294651908122,0.09339807188869888,0.1180194207748338,0.11778838746235537,0.06685274688298522,0.12020461140858192,0.14300827702100166
ROUGE-3 Recall Ξ§,0.1515589988729999,0.05912777986665323,0.05423396912142113,0.054443944102620705,0.04779955282187254,0.021274332829972355,0.12578986156916516,0.08340291513105297,0.0711040891909965,0.01588669904016292,0.06892440932072694,0.055542752373088464,0.09933673918503023,0.06612509909683079,0.05622329276462489,0.012364289490886622,0.053436101135984945,0.0441435192673134
ROUGE-3 Precision Ξ§,0.04393171738690356,0.018113020075157103,0.008055881652395583,0.08022546299569155,0.051919160045934984,0.11989428094540036,0.08792338456819848,0.056637020376200845,0.038845363732089626,0.03009277989680296,0.028049246623705334,0.0028323861356388466,0.06934989177246241,0.04406215913969108,0.030597797531806595,0.023884366339122207,0.022839996946775794,0.0029574429788663537
ROUGE-3 F-Score Ξ§,0.12282094328145783,0.04152509078072829,0.039637814060106295,0.06377494864341718,0.027022691893693232,0.013364608048072112,0.1128137682441978,0.07429888644528011,0.06267848051487862,0.01808747397097971,0.05648938832704511,0.03694917058196872,0.08940046772088289,0.05840475541968186,0.04937321225977203,0.01420171821224434,0.04413100467648197,0.029788035250973545
