Model,Relevance_story_spearman,Coherence_story_spearman,Empathy_story_spearman,Surprise_story_spearman,Engagement_story_spearman,Complexity_story_spearman
BLEU Ξ§,0.1774777823789897,0.22493099755542525,0.2296799791939438,0.22082736243730303,0.28997997188878244,0.3811309994069847
ROUGE-1 Recall Ξ§,0.18728455446469425,0.3001929507681825,0.2877589546246839,0.308560478360528,0.37023876105958853,0.505960258959094
ROUGE-1 Precision Ξ§,0.014023820334861858,0.009910447171705543,0.07105788091974019,0.08261952883359765,0.06917807047312219,0.18586096037857422
ROUGE-1 F-Score Ξ§,0.17439281026659748,0.2779143406494737,0.25771813774790403,0.26114402137631404,0.3431336121538859,0.4155522055544763
ROUGE-2 Recall Ξ§,0.13119325371398902,0.2271603168037967,0.22580070635496594,0.20622565827047923,0.24944360754138914,0.3355198058335314
ROUGE-2 Precision Ξ§,0.0018827290604185077,0.023123293560985903,0.007078586833717984,0.05335425063719466,0.03221471269002089,0.08227987535950711
ROUGE-2 F-Score Ξ§,0.09110985898322406,0.17983722430252938,0.16421301221152973,0.1362653083506683,0.18321210028260618,0.22492818316327803
ROUGE-3 Recall Ξ§,0.082327507496082,0.09865723034764816,0.09114787248914068,0.05055464825483245,0.07932361514194149,0.06346685989825003
ROUGE-3 Precision Ξ§,0.046617244277385166,0.05903403153342888,0.035192885923281764,0.0022700182351710037,0.014113790068382872,0.014164393435201579
ROUGE-3 F-Score Ξ§,0.05754195498091968,0.07655892484225518,0.054201352852900904,0.028181742470870356,0.04536571908884646,0.02181455605007755
ROUGE-4 Recall Ξ§,0.02430233297836813,0.0048106684737845296,0.03688009407929221,0.04144594516192842,0.03454780631552197,0.048015247291325565
ROUGE-4 Precision Ξ§,0.03912174377784211,0.013386194680531446,0.023560239763179187,0.053383539448662046,0.04206079959108031,0.06490611072705618
ROUGE-4 F-Score Ξ§,0.03624399788965722,0.012159216159419372,0.02806693600349711,0.05009241589592284,0.04104115037442986,0.06036947351544173
ROUGE-L Recall Ξ§,0.17168840612362835,0.28395856867421126,0.2804505835842975,0.2797494897193307,0.3448288150442824,0.47217059624119545
ROUGE-L Precision Ξ§,0.11485037894303818,0.15085183158227344,0.1719191612081825,0.22857683601811854,0.2474912248767601,0.4122057167759503
ROUGE-L F-Score Ξ§,0.11491798040825646,0.19065250114310536,0.1833785281377884,0.17062007244946506,0.21778908883615755,0.26114559126711523
ROUGE-W-1.2 Recall Ξ§,0.1689895316108507,0.27338579210255637,0.2768441017219968,0.27066261596302454,0.3355588195001263,0.4665458035712506
ROUGE-W-1.2 Precision Ξ§,0.12115259182353673,0.17497200769002363,0.1873517247387617,0.2393077806248851,0.2636975809643578,0.4342362863396352
ROUGE-W-1.2 F-Score Ξ§,0.15864858263203072,0.2502256252310701,0.23849379756814018,0.22260712504930158,0.28737871818144173,0.37582474603854
ROUGE-S* Recall Ξ§,0.18578054519010534,0.2932736743045019,0.29324320600476766,0.3024682952380975,0.3660494595903698,0.5006372332882895
ROUGE-S* Precision Ξ§,0.004254498940447324,0.01813795012271488,0.07429228172279044,0.09365211956816766,0.0854927736501603,0.20938453294973688
ROUGE-S* F-Score Ξ§,0.18178924389502202,0.26596558532471065,0.258937471004098,0.2474941852726059,0.32414055344131787,0.40859675852288885
ROUGE-SU* Recall Ξ§,0.1855971256649909,0.29313817752155075,0.29379068483690834,0.3030470528588645,0.3659548719660992,0.5009542214895358
ROUGE-SU* Precision Ξ§,0.009007838121822537,0.02994219088642609,0.07886016088046298,0.10367187934935873,0.0944088783561281,0.22445757147480072
ROUGE-SU* F-Score Ξ§,0.17827473325236917,0.26327756909112005,0.2563603613398147,0.24440044718033968,0.32038265873398314,0.4047733061224356
METEOR Ξ§,0.17538027615058568,0.28130644597517135,0.2794488178200492,0.28397556866555795,0.35382647281353546,0.49237282644942953
chrF Ξ§,0.1966801176215404,0.320340780733314,0.2980739788893791,0.3154669524947584,0.39026309580911916,0.5411295017030451
CIDEr Ξ§,0.0643260714081148,0.05815857074778323,0.05259724998437309,0.0576904212189329,0.06691176292680014,0.15307585704541568
ROUGE-WE-3 Recall Ξε,0.19375546020429693,0.32217355599134967,0.2984901505404989,0.281163563773839,0.3496020220553036,0.4830560149906861
ROUGE-WE-3 Precision Ξε,0.005930679305285659,0.0654433522218945,0.010740147552757895,0.03685893679633193,0.005998089479344337,0.07726255008098368
ROUGE-WE-3 F-Score Ξε,0.17596344865922867,0.2690820721679726,0.2514262393555861,0.21610372580464063,0.28090505807555244,0.3701402245620448
BERTScore Precision Ξε,0.05386015432578259,0.024252336812430022,0.06442976896641593,0.04113958888760494,0.024156632660762952,0.025273921593506166
BERTScore Recall Ξε,0.2008041223205769,0.2894859005783635,0.27889083887024824,0.2789336306463546,0.36327150048343043,0.4792059892938319
BERTScore F1 Ξε,0.18460947148710258,0.25164094547252597,0.27494569051558393,0.2248953306243907,0.3177958951377357,0.37905138421362317
MoverScore Ξε,0.2367283132317448,0.2733380626646742,0.23092522570694132,0.2365837442984584,0.32158587073493233,0.3615650051797741
DepthScore Ξε,0.11716673465369765,0.27857705897483004,0.20999784440865601,0.22357009159810284,0.29036104881095065,0.36306867237284796
BaryScore-W Ξε,0.1763090249330176,0.25940332663391774,0.2536546527605832,0.21844312260652568,0.31596171580739,0.36709597384075315
BaryScore-SD-10 Ξε,0.02457607133838388,0.03694463636023342,0.025352961656784582,0.05670075042866637,0.016143908490103373,0.09503029893959464
BaryScore-SD-5 Ξε,0.02580835348496734,0.03469701003878034,0.0280613948622493,0.05464524270567508,0.013059236204469284,0.09161858038121012
BaryScore-SD-1 Ξε,0.03316228700133437,0.025191727750492197,0.04088116504431139,0.05467848472166705,0.0041207199830333415,0.07943702120420536
BaryScore-SD-0.5 Ξε,0.03833652710771849,0.0192630158738808,0.04171301514383539,0.05261140761908292,0.0028737066189302163,0.06494781126117022
BaryScore-SD-0.1 Ξε,0.13060442742350611,0.17583597928317696,0.18235889780655223,0.13594365568082198,0.20959002657966308,0.21787528920514268
BaryScore-SD-0.01 Ξε,0.17787302590092913,0.2608374279921959,0.2546669379443692,0.21863590758005516,0.31641640027289814,0.3666429459773725
BaryScore-SD-0.001 Ξε,0.10525707999746148,0.2222728722861915,0.17589001033958543,0.1909051577900077,0.2209941022286357,0.3079991028055005
S3-Pyramid ΞΔ,0.19609918565695728,0.311374482490149,0.2967543113296371,0.30069724600942904,0.3774428397219625,0.4896485935630492
S3-Responsiveness ΞΔ,0.20209137528494406,0.31313009931622054,0.2847929264013712,0.3041328083724761,0.3685299422246862,0.48134537585360854
SummaQA ΞΔ,0.10616481206494299,0.11392703617236143,0.10945214803487566,0.22429124751206472,0.18997401652019458,0.3229045438817829
InfoLM-FisherRao ΞΔ,0.15271245379385776,0.16140172156958096,0.14565839919893953,0.14354700567034728,0.1808407245731816,0.24522932615118057
InfoLM-R-FisherRao ΞΔ,0.15271245379385776,0.16140172156958096,0.14565839919893953,0.14354700567034728,0.1808407245731816,0.24522932615118057
InfoLM-Sim-FisherRao ΞΔ,0.15271245379385776,0.16140172156958096,0.14565839919893953,0.14354700567034728,0.1808407245731816,0.24522932615118057
BARTScore-SH ΞΔ,0.2853244916042337,0.31378693610003694,0.28621138397684454,0.26433091243316537,0.3424539065016728,0.41921810195760206
BARTScore-HS ΞΔ,0.0731862570891368,0.09456247349455653,0.025067248461577697,0.1670638100191486,0.16752313170918573,0.23362662623142796
