Model,Relevance_system_kendall,Coherence_system_kendall,Empathy_system_kendall,Surprise_system_kendall,Engagement_system_kendall,Complexity_system_kendall
BLEU Ξ§,0.5555555555555555,0.3333333333333333,0.4222222222222222,0.4222222222222222,0.3333333333333333,0.5393598899705937
ROUGE-1 Recall Ξ§,0.5111111111111111,0.37777777777777777,0.4666666666666666,0.4666666666666666,0.37777777777777777,0.5843065474681431
ROUGE-1 Precision Ξ§,0.3333333333333333,0.19999999999999998,0.19999999999999998,0.28888888888888886,0.19999999999999998,0.40451991747794525
ROUGE-1 F-Score Ξ§,0.5111111111111111,0.37777777777777777,0.5555555555555555,0.37777777777777777,0.37777777777777777,0.4944132324730442
ROUGE-2 Recall Ξ§,0.4666666666666666,0.4222222222222222,0.6,0.4222222222222222,0.4222222222222222,0.3595732599803958
ROUGE-2 Precision Ξ§,0.28888888888888886,0.06666666666666667,0.022222222222222223,0.15555555555555553,0.06666666666666667,0.26967994498529685
ROUGE-2 F-Score Ξ§,0.28888888888888886,0.3333333333333333,0.4222222222222222,0.3333333333333333,0.3333333333333333,0.22473328748774737
ROUGE-3 Recall Ξ§,0.15555555555555553,0.28888888888888886,0.28888888888888886,0.19999999999999998,0.28888888888888886,0.08989331499509895
ROUGE-3 Precision Ξ§,0.4222222222222222,0.19999999999999998,0.19999999999999998,0.28888888888888886,0.19999999999999998,0.40451991747794525
ROUGE-3 F-Score Ξ§,0.022222222222222223,0.1111111111111111,0.1111111111111111,0.022222222222222223,0.1111111111111111,0.08989331499509895
ROUGE-4 Recall Ξ§,0.19999999999999998,0.1111111111111111,0.1111111111111111,0.022222222222222223,0.1111111111111111,0.044946657497549475
ROUGE-4 Precision Ξ§,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.19999999999999998,0.1111111111111111,0.26967994498529685
ROUGE-4 F-Score Ξ§,0.19999999999999998,0.022222222222222223,0.022222222222222223,0.06666666666666667,0.022222222222222223,0.13483997249264842
ROUGE-L Recall Ξ§,0.5555555555555555,0.4222222222222222,0.5111111111111111,0.5111111111111111,0.4222222222222222,0.6292532049656925
ROUGE-L Precision Ξ§,0.4222222222222222,0.19999999999999998,0.19999999999999998,0.28888888888888886,0.19999999999999998,0.40451991747794525
ROUGE-L F-Score Ξ§,0.4666666666666666,0.4222222222222222,0.6,0.4222222222222222,0.4222222222222222,0.3595732599803958
ROUGE-W-1.2 Recall Ξ§,0.5555555555555555,0.4222222222222222,0.5111111111111111,0.5111111111111111,0.4222222222222222,0.6292532049656925
ROUGE-W-1.2 Precision Ξ§,0.4222222222222222,0.19999999999999998,0.19999999999999998,0.28888888888888886,0.19999999999999998,0.40451991747794525
ROUGE-W-1.2 F-Score Ξ§,0.6,0.4666666666666666,0.6444444444444444,0.4666666666666666,0.4666666666666666,0.4944132324730442
ROUGE-S* Recall Ξ§,0.6,0.37777777777777777,0.37777777777777777,0.4666666666666666,0.37777777777777777,0.5843065474681431
ROUGE-S* Precision Ξ§,0.4666666666666666,0.15555555555555553,0.15555555555555553,0.24444444444444444,0.15555555555555553,0.3595732599803958
ROUGE-S* F-Score Ξ§,0.5555555555555555,0.3333333333333333,0.4222222222222222,0.4222222222222222,0.3333333333333333,0.5393598899705937
ROUGE-SU* Recall Ξ§,0.6,0.37777777777777777,0.37777777777777777,0.4666666666666666,0.37777777777777777,0.5843065474681431
ROUGE-SU* Precision Ξ§,0.4666666666666666,0.15555555555555553,0.15555555555555553,0.24444444444444444,0.15555555555555553,0.3595732599803958
